"Index","First Name","Last Name","Date Of Birth","Height","Weight","Small Shirt Size","Medium Shirt Size","Large Shirt Size","Hair Color"
"0031","Chantal","Stäheli","20.11.1938","170","85","","X","","Brown"
"0032","Miriam","Futter","02.05.1990","170","83","","X","","Grey"
"0033","Sarah","Simon","06.07.1900","172","95","","X","","Blonde"
"0034","Killian","Wyttenbach","25.09.1901","170","71","","X","","Grey"
"0035","Luan","Balmer-Schiltknecht","17.11.1926","171","81","","X","","Black"
"0036","Ralph","Graf","26.03.1978","174","80","","X","","Grey"
"0037","Vivien","Singer","13.08.22","178","64","","X","","Red"
"0038","VALENTINE","Diener","20.01.1916","165","70","X","","","Red"
"0039","Fabrizio","Schneider","26.07.1954","174","80","","X","","Red"
"0040","Dorentina","Battegay","08.09.1966","180","73","","X","","Black"
"0041","Astrid","Burger","25.04.1910","178","84","","X","","Red"
"0042","Bryan","Bernegger-Kobel","16.03.01","171","77","","X","","Blonde"
,"Wendy","Kurtulmus",,,,,
"0043","Francesca","Cucuz","15.07.1908","172","75","","X","","Black"
"0044","Charline","Ling","17.07.1905","186","93","","","X","Brown"
"0045","Flavia","Letzkus","31.12.1982","161","83","X","","","Blonde"
"0046","Paula","Bührig","24.06.1915","172","82","","X","","Blonde"
"0047","Selin","Glaser","07.10.1939","168","50","","X","","Red"
"0048","Aylin","Grass","25.12.1924","170","63","","X","","Brown"
"0049","LUNA","Ruck","07.04.1904","179","82","","X","","Black"
"0050","Ana","Garibovic","06.07.1925","180","82","","X","","Red"
"0051","Laeticia","Hausherr","08.11.75","174","79","","X","","Grey"
"0052","Marius","Flepp","21.06.1965","182","87","","X","","Grey"
,"Mona","Schlieper",,,,,
"0053","Mohamed","Taras","05.09.1933","167","62","X","","","Grey"
"0054","Nerea","Ulcay","04.01.1970","185","91","","","X","Black"
"0055","Mirco","Seidler","28.02.1912","167","73","X","","","Red"
"0056","Angelica","Vontobel","09.07.1988","170","65","","X","","Blonde"
"0057","Antony","Kern","17.04.1976","167","77","X","","","Brown"
"0058","FLAVIA","Fix","03.02.1980","180","86","","X","","Red"
"0059","Nicola","Widmer-Urfer","26.05.1933","180","82","","X","","Grey"
"0060","DIMITRI","Winizki","22.10.1929","179","83","","X","","Grey"
"0061","JOHN","Gisin","10.03.1953","173","93","","X","","Red"
"0062","Mandy","Bachmann","26.05.1908","181","90","","X","","Grey"
"0063","Andreas","Winizki","12.05.1953","172","60","","X","","Grey"
"0064","Raffaela","Besker","18.12.49","167","75","X","","","Brown"
"0065","Natascha","Witzig","08.04.1934","178","88","","X","","Blonde"
"0066","Rayan","Cassee","25.04.1997","157","65","X","","","Grey"
"0067","Yassin","Helbling","10.11.1944","169","81","","X","","Black"
"0068","André","Bugmann","20.04.44","168","71","","X","","Blonde"
,"Ambra","Gisler",,,,,
"0069","Lukas","Gerber","21.10.1930","168","80","","X","","Brown"
"0070","Marcello","Beer","20.07.1904","189","79","","","X","Blonde"
,"Cloe","Mainberger",,,,,
"0071","TOM","Lüthy","07.12.1964","182","72","","X","","Blonde"
"0072","Michaela","Lauber","24.07.1953","174","71","","X","","Blonde"
,"Ilenia","Giger-Reich",,,,,
"0073","PATRICK","Horváth","20.10.1998","187","102","","","X","Red"
"0074","Pedro","Steinmann","06.06.1974","175","79","","X","","Grey"
"0075","Simona","Thiébaud","02.08.98","166","76","X","","","Grey"
"0076","Alejandro","Pfister","08.03.1907","169","84","","X","","Black"
"0077","Anton","Zryd","22.08.1987","179","88","","X","","Brown"
"0078","Anne","Jenzer","02.11.1906","171","71","","X","","Brown"
"0079","Vasco","Anken","09.10.1992","168","66","","X","","Black"
,"Lucie","Peske",,,,,
"0080","Elisa","Streich","31.08.1977","155","68","X","","","Black"
"0081","LEANA","Müller-Sekinger","30.01.1945","169","69","","X","","Grey"
"0082","Kristin","Meyer","14.03.1981","170","80","","X","","Grey"
"0083","Claudio","Zöbeli","10.03.1967","167","77","X","","","Grey"
"0084","Vivienne","Rutishauser","19.09.85","174","71","","X","","Blonde"
"0085","Valdrin","Schreyer","17.11.1947","174","76","","X","","Black"
"0086","Tomislav","Zuber","23.04.1930","173","78","","X","","Brown"
"0087","Noëlle","Furegati","06.05.1985","169","79","","X","","Brown"
"0088","Tina","Leitner","19.12.1999","173","78","","X","","Blonde"
"0089","Joyce","Vögele","21.02.1927","180","81","","X","","Black"
"0090","Donika","Feller","06.05.1972","170","68","","X","","Grey"
"0091","Danja","Greiner-Tschudi","20.11.1945","166","68","X","","","Black"
"0092","Marine","Hensch Frei","08.09.1966","182","94","","X","","Red"
"0093","Carmen","Bussmann Bolaños Carpio","16.01.1921","170","93","","X","","Blonde"
"0094","Natasha","Abt Tietje","06.08.1962","175","65","","X","","Brown"
"0095","Andrijana","Beytekin","23.10.1982","168","75","","X","","Red"
"0096","Chloe","Rabelbauer","08.04.1997","180","65","","X","","Red"
"0097","Nada","Spilimbergo","26.09.1954","168","68","","X","","Grey"
"0098","Adeline","Spitzbarth","22.09.1905","179","93","","X","","Brown"
"0099","Mikael","Graf Füchslin","04.02.1934","172","61","","X","","Grey"
"0100","Simeon","Stamm","08.03.1999","170","71","","X","","Red"
"0101","Antigona","Winiger","29.04.1975","165","69","X","","","Brown"
"0102","Fanny","Schudel","26.02.1967","178","78","","X","","Red"
"0103","Xenia","Castegnaro","02.03.1983","177","88","","X","","Red"
"0104","Marjorie","Marti","31.08.1965","177","78","","X","","Grey"
"0105","Sandy","Gerber","20.02.1999","160","61","X","","","Grey"
"0106","Thomas","Grüninger","05.10.1988","186","89","","","X","Black"
,"Shannon","Ziswiler",,,,,
"0107","Amanda","Keller","10.11.1911","162","60","X","","","Blonde"
"0108","SABRINA","Stamm","05.06.1972","174","78","","X","","Blonde"
"0109","Janis","Sangines","24.09.1939","176","70","","X","","Grey"
"0110","Lidia","Bätschmann","28.08.1940","170","83","","X","","Brown"
"0111","Élodie","Hänni-Etter","18.01.1988","159","61","X","","","Brown"
"0112","Sarina","Schudel","01.11.1914","179","72","","X","","Black"
"0113","Niklas","L'Orange Seigo","11.01.1991","161","64","X","","","Black"
"0114","DAVE","Maron","09.09.89","173","71","","X","","Gray"
"0115","Minh","Virag Jansen","16.04.1935","178","88","","X","","Brown"
"0116","Lirim","Wietlisbach","06.08.1998","161","61","X","","","Black"
"0117","Alba","Schoch","23.12.1975","168","88","","X","","Black"
,"Lidia","Bätschmann",,,,,
"0118","Jannick","Brugger","23.07.1998","170","82","","X","","Grey"
"0119","Laura","Gerosa","11.10.1903","176","86","","X","","Black"
,"Myriam","Maino",,,,,
"0120","Micha","Lamprecht","05.01.1973","171","75","","X","","Grey"
"0121","Joe","Lüthi","27.10.1964","167","84","X","","","Grey"
"0122","NIK","Rentsch","09.12.1968","178","92","","X","","Brown"
"0123","Stacy","Kämpfer","10.06.1957","173","98","","X","","Red"
"0124","MOHAMED","Negro","19.12.1977","183","78","","","X","Blonde"
"0125","Mohamed","Tschan","23.06.1977","175","73","","X","","Red"
"0126","Nicolas","Schleifer","13.03.53","167","66","X","","","Blonde"
"0127","Salvatore","Akyol","20.07.1905","178","71","","X","","Red"
"0128","RUBEN","Janett","18.12.1968","179","72","","X","","Brown"
"0129","Jérôme","Günthart","04.10.1908","168","71","","X","","Grey"
"0130","DEJAN","Ponti","28.05.1976","161","70","X","","","Brown"
"0131","Edouard","Gassmann","20.10.1973","165","69","X","","","Blonde"
"0132","OLIVER","Stoffel","15.01.1988","175","69","","X","","Blonde"
"0133","Ann","Milakovic","19.12.1924","171","63","","X","","Grey"
"0134","MERVE","Mahrer","03.05.32","170","66","","X","","Black"
"0135","Leroy","Trevisan","12.09.1939","171","77","","X","","Blonde"
"0136","DIANA","Zihlmann","20.03.1990","165","79","X","","","Blonde"
"0137","Ramona","Truffer","15.08.1911","181","100","","X","","Brown"
"0138","Nadja","Hoesch","25.07.1968","167","65","X","","","Grey"
"0139","Saranda","Jordi","08.12.1936","168","67","","X","","Black"
"0140","Lara","Rehsche","21.11.1979","170","61","","X","","Grey"
"0141","Emily","Suter Reich","20.12.1903","167","76","X","","","Brown"
"0142","MAYRA","Flubacher","30.11.1946","168","72","","X","","Brown"
"0143","Umut","Muhl","09.05.1962","169","77","","X","","Black"
"0144","Raphaela","Pitschen","26.01.1905","166","64","X","","","Blonde"
,"Leroy","Trevisan",,,,,
"0145","Quirin","Käser","25.05.1936","164","79","X","","","Blonde"
"0146","Nando","Greco","04.04.1993","174","81","","X","","Brown"
"0147","Osman","Pokerschnig","10.12.88","179","90","","X","","Red"
"0148","VANESA","Weyermann","19.06.59","178","63","","X","","Brown"
"0149","Tobias","Haas","09.08.1964","180","80","","X","","Brown"
"0150","Labinot","Gambacciani","28.08.1907","171","75","","X","","Blonde"
"0151","Philipp","Christoffel","16.01.94","174","90","","X","","Black"
"0152","Cheryl","Furegati","13.11.1928","165","55","X","","","Blonde"
"0153","YOHAN","L'Orange Seigo","25.07.1996","172","75","","X","","Blonde"
"0154","Micaela","Stäheli","09.04.1981","180","74","","X","","Red"
"0155","Alexander","Inauen","30.01.1989","178","83","","X","","Red"
"0156","Kenza","Huonker","28.04.1965","179","87","","X","","Blonde"
"0157","Elise","Venzin","20.05.1949","176","69","","X","","Brown"
"0158","Laurie","Braun","18.07.1903","175","85","","X","","Brown"
"0159","Nicolas","Federer","13.08.1920","176","85","","X","","Grey"
"0160","Besmir","Agazzi","06.12.1979","174","70","","X","","Grey"
"0161","Stefania","Traber","24.01.1940","175","81","","X","","Black"
"0162","Natascha","Gisin","24.06.1972","177","76","","X","","Grey"
"0163","Fabrice","Leuthard Zwald","06.04.48","167","73","X","","","Blonde"
"0164","Almedina","Wildberger","01.01.68","181","82","","X","","Gray"
"0165","Blerina","Brugger-Wendelspiess","14.12.1927","190","79","","","X","Grey"
,"Cem","Gentina",,,,,
"0166","Paul","Kräuchi","13.01.89","187","87","","","X","Grey"
"0167","Michel","Vogel","29.11.1985","167","61","X","","","Grey"
"0168","VANESA","Steinmann","01.06.1902","167","73","X","","","Brown"
"0169","Elma","Manni","23.04.1987","172","97","","X","","Grey"
"0170","Shkelqim","Rocco","16.08.1959","176","96","","X","","Brown"
"0171","Maurizio","Aubert","14.05.1912","178","83","","X","","Black"
"0172","Aurora","Donà","23.02.1957","178","66","","X","","Red"
"0173","Zeno","Bossart Bright","01.09.1918","168","63","","X","","Blonde"
"0174","Simea","Bagattini","31.07.1927","187","96","","","X","Brown"
"0175","Stefani","Erdem","07.04.1959","175","78","","X","","Blonde"
"0176","Katia","Linsi","24.05.1933","183","86","","","X","Red"
"0177","Guido","Maloberti","22.09.1979","172","87","","X","","Blonde"
"0178","Chris","Spiess","27.08.1993","174","97","","X","","Red"
"0179","VALERIE","Studer","08.12.1923","178","89","","X","","Blonde"
"0180","Svenja","Redzic","28.05.1927","159","58","X","","","Grey"
"0181","Rhea","Giger-Reich","01.10.1929","185","80","","","X","Black"
,"Ardian","Markarian",,,,,
"0182","Joanne","Schwab","01.04.1994","188","110","","","X","Red"
"0183","Mehmet","von Siebenthal","27.06.1935","169","69","","X","","Red"
"0184","Alice","Ogul","21.11.1993","167","81","X","","","Red"
"0185","Remi","Bollag","10.05.1932","176","70","","X","","Blonde"
"0186","Malik","Derrer","26.10.1988","182","86","","X","","Blonde"
,"Boris","Habicher",,,,,
"0187","Jana","Richter","21.10.1977","168","69","","X","","Grey"
"0188","Branislav","Etter","29.07.1900","176","85","","X","","Red"
"0189","Mariano","Fischer","02.11.1949","170","100","","X","","Red"
"0190","Katia","Grüter","28.05.1980","165","64","X","","","Red"
,"Ben","Stamm",,,,,
"0191","Dana","Gerth","21.10.1954","170","77","","X","","Grey"
"0192","Alma","Näf","12.07.1940","178","78","","X","","Red"
"0193","Jana","Zwicky","09.06.1920","179","93","","X","","Brown"
"0194","Kenny","Jamal-Aldin","02.01.1918","176","72","","X","","Red"
"0195","Francisco","Neurohr","30.09.1903","172","66","","X","","Red"
"0196","Carina","Egli","24.05.1947","162","56","X","","","Black"
"0197","Gwendoline","Vesely","10.10.1921","171","77","","X","","Black"
"0198","Dylan","Garibovic","23.07.1973","172","73","","X","","Brown"
"0199","Vito","Nussbaumer","05.09.86","168","90","","X","","Black"
"0200","Nadin","Stofer","28.08.76","166","74","X","","","Black"
"0201","Mladen","Claude","01.11.1964","174","85","","X","","Blonde"
"0202","Emir","Gambaro","08.07.98","178","75","","X","","Gray"
"0203","Loan","Brühlmann","11.07.1932","188","91","","","X","Blonde"
"0204","Yanick","Schudel","25.11.1913","183","101","","","X","Blonde"
"0205","Alina","Garibovic","18.03.1947","173","86","","X","","Black"
"0206","Fabia","Dubach","03.09.1996","178","82","","X","","Brown"
"0207","Charlene","Kömeter","27.07.1953","178","106","","X","","Blonde"
"0208","Nik","Merz-Tanören","27.06.1961","182","98","","X","","Blonde"
"0209","Bettina","Küng","05.07.1914","174","75","","X","","Blonde"
"0210","Kimberley","Markarian","01.12.1964","177","74","","X","","Blonde"
"0211","Jona","Schwendimann","15.04.1932","180","89","","X","","Grey"
"0212","Joris","Lilljeqvist Heierli","16.05.1930","170","71","","X","","Brown"
"0213","Marija","Wilms","06.05.1919","162","62","X","","","Blonde"
"0214","Milos","Müller-Sekinger","22.05.1994","173","74","","X","","Brown"
,"Liliana","Koller",,,,,
"0215","Andrin","Rischatsch","10.09.60","188","84","","","X","Brown"
"0216","Nada","Battegay","11.05.1994","159","60","X","","","Brown"
"0217","Vanja","Blättler","04.05.1988","177","84","","X","","Red"
"0218","Vjollca","Bär","24.08.1927","167","76","X","","","Black"
"0219","Lauriane","Roy","11.01.1901","174","84","","X","","Red"
"0220","Marcus","Kilinç","21.11.1905","178","80","","X","","Brown"
"0221","Klemens","Bircher","25.12.1963","172","67","","X","","Brown"
"0222","BUJAR","Gnägi","13.11.1973","179","88","","X","","Gray"
"0223","Anastasia","Michel-Landolt","09.04.1900","180","84","","X","","Brown"
"0224","Virginie","Herzog","16.07.1900","182","89","","X","","Grey"
"0225","Carl","Schnyder von Wartensee","21.07.71","180","88","","X","","Black"
"0226","Ludivine","Schüpbach Schmid","23.10.1945","180","79","","X","","Red"
"0227","Konstantin","Fischer Wolf","01.02.1991","186","95","","","X","Grey"
"0228","Alejandro","Hausherr","16.12.1913","173","68","","X","","Blonde"
"0229","Charles","Ilari","28.07.91","168","56","","X","","Blonde"
"0230","Stacy","Brugger","04.07.93","171","71","","X","","Black"
"0231","Micaela","Isler Rüetschi","14.10.1978","168","80","","X","","Brown"
"0232","Oriane","Diaz","19.04.1923","176","63","","X","","Brown"
"0233","Lazar","Klieber","31.07.1985","175","65","","X","","Brown"
"0234","Melissa","Stäheli","31.10.1977","171","76","","X","","Red"
"0235","Lionel","Huonker","02.10.1914","165","62","X","","","Blonde"
"0236","Domenik","Mader","07.12.1928","171","86","","X","","Black"
"0237","Kerem","Heinbach","30.01.1994","173","87","","X","","Red"
"0238","Maxim","Negri","11.02.1920","180","74","","X","","Red"
"0239","Edin","Angst-Kummle","11.01.1980","165","72","X","","","Grey"
"0240","Veronika","Pavone","26.05.49","172","85","","X","","Blonde"
"0241","Jennifer","Jörg","22.03.1961","185","79","","","X","Blonde"
"0242","Stefania","Tscherrig","31.03.1963","176","91","","X","","Red"
"0243","Bastian","Bösinger","27.06.1932","181","99","","X","","Black"
,"Ludivine","Schüpbach Schmid",,,,,
"0244","Lorraine","Barmettler","15.12.1984","164","62","X","","","Red"
"0245","Celia","Bettschen","04.05.1989","170","63","","X","","Grey"
"0246","Admir","Pauli","30.07.1911","177","92","","X","","Black"
"0247","Alen","Häusermann","07.07.1989","169","79","","X","","Gray"
"0248","Joel","Wietlisbach","17.11.1967","171","75","","X","","Blonde"
"0249","Raquel","Petri","29.05.35","167","79","X","","","Black"
"0250","Nikita","Jörger","14.04.89","167","67","X","","","Blonde"
,"Dino","Böni",,,,,
"0251","Mickaël","Käppeli","11.07.1988","181","66","","X","","Grey"
"0252","Colin","Fehlmann","13.01.1918","168","72","","X","","Red"
"0253","DARDAN","Zryd","09.11.1993","183","96","","","X","Grey"
"0254","SERAINA","Pöhner","05.01.1904","170","83","","X","","Brown"
"0255","Véronique","Bulatovic","12.10.1994","183","84","","","X","Blonde"
"0256","Yasmin","Angst","28.06.1932","177","79","","X","","Grey"
"0257","Rea","Maloberti","21.10.1937","168","83","","X","","Red"
"0258","Karin","Tuena","23.08.1991","169","64","","X","","Grey"
"0259","Jonathan","Räth","08.03.1939","174","76","","X","","Black"
"0260","Cristina","Stiefel","29.03.1962","181","83","","X","","Black"
"0261","NIKLAUS","Gredig","13.10.1987","184","78","","","X","Black"
,"Stefania","Tscherrig",,,,,
"0262","Layla","Schnyder von Wartensee","03.03.1992","180","67","","X","","Blonde"
,"Ella","Kweitel",,,,,
"0263","Klemens","Brugger-Wendelspiess","09.09.1963","160","65","X","","","Black"
"0264","Dilan","Habegger Muntwiler","07.11.1933","176","89","","X","","Red"
"0265","David","Kissling","31.08.1981","181","108","","X","","Blonde"
"0266","CHRIS","Hauser","12.10.1978","169","84","","X","","Grey"
"0267","Rhea","Casutt","03.07.1947","176","83","","X","","Black"
"0268","Amira","Spilimbergo","25.12.1966","196","96","","","X","Brown"
"0269","Dina","Gänsli-Vital","26.11.1978","178","76","","X","","Red"
"0270","Gilles","Arnet","11.09.1915","167","84","X","","","Red"
"0271","ANTONIN","Gerosa","27.07.1963","176","82","","X","","Blonde"
"0272","Esra","Rusterholz","20.05.04","174","61","","X","","Red"
,"Malik","Dietsche",,,,,
"0273","François","Kümin Frauenknecht","06.01.1917","176","63","","X","","Brown"
"0274","FLORINA","Fritzsche","15.11.05","178","88","","X","","Blonde"
"0275","Quirin","Kömeter","04.01.1995","179","93","","X","","Grey"
"0276","JEHONA","Virchaux","03.12.1914","165","72","X","","","Blonde"
,"Alexandre","Claude",,,,,
"0277","Niko","Nünlist","11.08.1933","174","58","","X","","Red"
"0278","Hugo","Kneubühler","05.06.1998","172","74","","X","","Blonde"
"0279","Lia","Schwyter","31.12.1977","178","86","","X","","Brown"
"0280","Filippo","Meloni","07.12.1963","182","71","","X","","Red"
"0281","Leonita","Ruh","15.08.1995","185","99","","","X","Black"
"0282","MIREILLE","Hauri","24.02.1972","167","86","X","","","Brown"
,"Arian","Arendt",,,,,
"0283","ALISON","Papageorgiou","17.10.1998","177","91","","X","","Brown"
"0284","Joanne","Schiller","16.07.1928","168","61","","X","","Red"
"0285","Karen","Pavone","06.10.1912","173","93","","X","","Grey"
"0286","FISNIK","Padel","04.06.1909","177","94","","X","","Red"
,"Virginia","Paras",,,,,
"0287","Amanda","Bätschmann","27.10.1961","182","80","","X","","Grey"
,"Micael","Schwaninger",,,,,
"0288","Beda","Schorp","15.05.1904","177","94","","X","","Blonde"
"0289","Romy","Käppeli","06.01.1962","174","84","","X","","Blonde"
"0290","Mélodie","Hänni-Etter","10.12.1945","173","71","","X","","Grey"
"0291","Yusuf","Jenny","28.09.77","180","87","","X","","Blonde"
,"Anaëlle","Rub",,,,,
"0292","Alena","van der Waerden Hrusovszky","14.07.1911","178","67","","X","","Grey"
"0293","Lionel","Hirsiger","05.02.1949","171","65","","X","","Red"
"0294","ROY","Fröhlich","21.11.1963","171","66","","X","","Brown"
,"Michaela","Maron",,,,,
"0295","Sabrina","Wyttenbach","24.02.33","179","75","","X","","Black"
"0296","Ebru","Fischer Wolf","08.07.1914","168","68","","X","","Red"
"0297","Cynthia","Futter","28.02.1950","165","77","X","","","Grey"
"0298","Saskia","Nestel","14.08.1939","192","106","","","X","Brown"
"0299","Rhea","Doornbosch Büttiker","11.08.1901","187","86","","","X","Black"
"0300","Alessandro","Wettstein","06.06.1932","181","71","","X","","Grey"
"0301","Jessy","Dellenbach","12.07.1946","179","84","","X","","Gray"
"0302","Selim","Kleger","29.07.1907","181","73","","X","","Black"
,"Nikolina","Bussmann Bolaños Carpio",,,,,
"0303","Nicholas","Bloch","06.09.1968","173","79","","X","","Red"
"0304","Olivia","Schnydrig","28.09.1980","170","72","","X","","Black"
"0305","Simona","Iten","18.07.1943","169","95","","X","","Red"
"0306","CRISTINA","Hilber","15.03.1918","169","75","","X","","Blonde"
"0307","KADIR","Richli","25.04.39","174","93","","X","","Blonde"
"0308","Berfin","Mazur","31.10.1979","179","73","","X","","Black"
"0309","NEREA","Hohmann Maey","02.11.1959","181","92","","X","","Grey"
"0310","Joey","Meier","24.09.1932","167","80","X","","","Grey"
"0311","Artan","Föhn ","24.11.1997","160","57","X","","","Black"
"0312","Alfred","Weisenhorn","14.08.39","162","74","X","","","Brown"
"0313","Sandrine","Wild Oester","30.10.1989","170","91","","X","","Black"
"0314","Michelle","Barbadimos","06.10.1911","178","105","","X","","Grey"
"0315","Aurelio","Schlauri","13.03.1910","165","67","X","","","Blonde"
,"Mélodie","Hänni-Etter",,,,,
"0316","Fatlinda","Züst-Gericke","05.02.1904","172","68","","X","","Red"
"0317","Noelia","Wettstein","23.06.1903","174","90","","X","","Brown"
"0318","Marko","Mijnssen","20.11.1916","171","75","","X","","Blonde"
"0319","Veronica","Zwicky","02.11.1901","173","71","","X","","Black"
"0320","Alessia","Brack","27.10.1980","176","79","","X","","Blonde"
"0321","Hasan","Kobel","30.07.1981","180","97","","X","","Blonde"
"0322","Solène","Fehlmann","27.05.1961","176","67","","X","","Black"
"0323","LARS","Wildberger","18.12.1907","175","74","","X","","Grey"
"0324","Ilona","Hess","11.03.1910","170","59","","X","","Brown"
"0325","Fatlind","Jordi","10.05.82","166","82","X","","","Blonde"
"0326","Alexia","Esseiva","11.04.1929","177","94","","X","","Red"
"0327","Rhea","Peyer","16.12.1950","163","69","X","","","Black"
"0328","Asmir","Gallmann","25.06.1994","185","83","","","X","Red"
"0329","Gentiana","Güntensperger-Alioth","17.06.1923","168","66","","X","","Black"
"0330","Christina","Stephenson","09.03.39","166","54","X","","","Grey"
"0331","Levin","Haselbach","13.10.1976","193","102","","","X","Brown"
"0332","Colin","Bagdasarianz","19.10.1993","169","69","","X","","Red"
"0333","Sarah","Würth","07.10.1953","178","81","","X","","Blonde"
"0334","Curdin","Oesch","05.05.1922","172","77","","X","","Black"
"0335","MARILENA","Zimmerli","17.04.1959","178","87","","X","","Blonde"
"0336","Gilles","Schlieper","07.08.1984","158","81","X","","","Red"
"0337","Matea","Merz-Tanören","29.06.1944","177","91","","X","","Blonde"
"0338","Ebru","Steiner","11.02.1946","172","77","","X","","Brown"
"0339","Sergio","Angst","22.04.1939","167","65","X","","","Red"
"0340","Dario","Margreiter","10.04.56","174","80","","X","","Grey"
"0341","Doris","Venzin","07.12.78","174","69","","X","","Brown"
"0342","Tessa","Polemi","09.03.50","174","72","","X","","Blonde"
"0343","DESIREE","Piller","15.06.1942","170","63","","X","","Gray"
"0344","Robin","Landolt","18.09.1995","166","80","X","","","Blonde"
"0345","Tobias","Leoni","24.10.1976","168","76","","X","","Blonde"
"0346","ARIAN","Gutierrez","12.12.1919","176","83","","X","","Red"
,"Annik","Babini",,,,,
"0347","PETER","Schlieper","10.11.1997","168","78","","X","","Black"
,"Kylian","Illi",,,,,
"0348","Samuel","Rentsch","18.10.1925","166","63","X","","","Black"
"0349","Tina","Ametamey","04.01.1958","175","86","","X","","Red"
,"Guido","Greco",,,,,
"0350","Maureen","Piller","11.08.1987","169","85","","X","","Grey"
"0351","Labinot","Dubno","01.07.1936","173","92","","X","","Blonde"
"0352","Valmir","Früh","14.01.1956","176","93","","X","","Brown"
"0353","Michaela","Teodoru","02.09.1905","182","84","","X","","Brown"
"0354","SIMEON","Reichlin","21.02.1993","174","59","","X","","Black"
"0355","Mauro","Knauss","13.02.1930","174","74","","X","","Red"
,"Kristin","Helfenstein",,,,,
"0356","Samanta","Juchli","02.10.29","176","77","","X","","Brown"
"0357","Yasmina","Cassee","11.06.1959","166","66","X","","","Black"
"0358","Yannik","Bächtold","28.11.1945","180","90","","X","","Grey"
"0359","Kübra","Renggli","23.07.1903","170","72","","X","","Black"
"0360","Arbnor","Pörtner","16.11.1992","183","95","","","X","Black"
"0361","Emir","Falusi","08.07.1981","178","71","","X","","Grey"
"0362","Celia","Hurschler","11.06.1959","172","76","","X","","Black"
"0363","Valentine","Yetergil Kiefer","22.08.1967","172","90","","X","","Black"
"0364","Ladina","Heuberger","12.07.1943","170","75","","X","","Red"
"0365","Emir","Peter","05.02.1931","172","69","","X","","Gray"
"0366","Mirza","Rutishauser","16.10.1922","174","79","","X","","Blonde"
"0367","Benedikt","Maron","30.01.1973","176","78","","X","","Brown"
"0368","Elin","Engel","31.08.1983","175","83","","X","","Black"
"0369","Jade","Peter-Huber","19.03.1942","177","68","","X","","Blonde"
"0370","Roy","Kohler","12.05.1978","179","84","","X","","Blonde"
"0371","Lorene","Kämpfer","05.12.1922","168","75","","X","","Black"
"0372","Aylin","Bloch","20.02.1912","164","60","X","","","Black"
,"Fabrizio","Dominguez",,,,,
"0373","Elise","Erdem","22.07.1946","189","87","","","X","Red"
"0374","Albert","Sidler","09.02.1903","168","69","","X","","Black"
"0375","Eric","Mattenberger","27.09.32","179","59","","X","","Blonde"
,"Andres","Hoch",,,,,
"0376","Wendy","Capraro","29.03.1928","161","63","X","","","Grey"
"0377","Arbnora","Braun","14.01.1904","183","79","","","X","Grey"
"0378","RAOUL","Schlauri","05.01.1931","167","77","X","","","Blonde"
"0379","Mohamed","Bücheler","27.12.69","168","82","","X","","Red"
"0380","Tizian","Bürlimann","17.02.1924","168","67","","X","","Brown"
,"Annina","Hadian",,,,,
